,Phosphate rock,DAP,TSP,Urea ,Potassium chloride **,Aluminum,"Iron ore, cfr spot",Copper,Lead,Tin,Nickel,Zinc,Gold,Platinum,Silver
year,($/mt),($/mt),($/mt),($/mt),($/mt),($/mt),($/dmtu),($/mt),($/mt),($/mt),($/mt),($/mt),($/troy oz),($/troy oz),($/troy oz)
1960M01,13,...,53,42.25,28.5,511.4718323,11.42,715.4,206.1,2180.4,1631,260.8,35.27,83.5,0.9137
1960M02,13,...,53,42.25,28.5,511.4718323,11.42,728.19,203.7,2180.4,1631,244.9,35.27,83.5,0.9137
1960M03,13,...,53,42.25,28.5,511.4718323,11.42,684.94,210.3,2173.8,1631,248.7,35.27,83.5,0.9137
1960M04,13,...,53,42.25,28.5,511.4718323,11.42,723.11,213.6,2178.2,1631,254.6,35.27,83.5,0.9137
1960M05,13,...,53,42.25,28.5,511.4718323,11.42,684.75,213.4,2162.7,1631,253.8,35.27,83.5,0.9137
1960M06,13,...,53,42.25,28.5,511.4718323,11.42,691.59,202.4,2184.8,1631,249.8,35.27,83.5,0.9137
1960M07,13,...,53,42.25,28.5,511.4718323,11.42,702.39,196.2,2248.7,1631,248.7,35.27,83.5,0.9137
1960M08,13,...,53,42.25,28.5,511.4718323,11.42,675.94,195.3,2204.6,1631,241,35.27,83.5,0.9137
1960M09,13,...,53,42.25,28.5,511.4718323,11.42,647.06,192.7,2226.7,1631,240.1,35.27,83.5,0.9137
1960M10,13,...,53,42.25,28.5,511.4718323,11.42,612.66,185.2,2226.7,1631,242.3,35.27,83.5,0.9137
1960M11,13,...,53,42.25,28.5,511.4718323,11.42,642.13,188.1,2204.6,1631,241.4,35.27,83.5,0.9137
1960M12,13,...,53,42.25,28.5,511.4718323,11.42,636.91,179.2,2189.2,1631,228.2,35.27,83.5,0.9137
1961M01,13,...,52,42.25,30,511.4718323,11.02,606.71,175.9,2162.7,1711,218,35.25,83.5,0.9137
1961M02,13,...,52,42.25,30,511.4718323,11.02,616.63,179.9,2187,1711,228.2,35.25,83.5,0.9137
1961M03,13,...,52,42.25,30,511.4718323,11.02,621.26,181.7,2248.7,1711,233.2,35.25,83.5,0.9137
1961M04,13,...,52,42.25,30,511.4718323,11.02,631.84,185,2308.2,1711,231.3,35.25,83.5,0.9137
1961M05,13,...,52,42.25,30,511.4718323,11.02,668.44,183.6,2376.6,1711,227.1,35.25,83.5,0.9137
1961M06,13,...,52,42.25,30,511.4718323,11.02,652.12,178.4,2467,1711,217.8,35.25,83.5,0.9137
1961M07,13,...,52,42.25,30,511.4718323,11.02,633.39,178.8,2519.9,1711,214.7,35.25,83.5,0.9137
